Region,Site,Lat,Lon,coreNo,soilNo,bpCntr,bpMOE,rcybpCntr,rcybpMOE,event,subsidence,Uncertainty,source,quality,method
Washington ,Copalis River Estuary,47.12,124.162,Co-m,1,211,211,233,30,T1,1.7,0.5,"8,9",2,"Trialochin, rm ac; Spruce, p bc"
Washington ,Copalis River Estuary,47.12,124.162,,2,1620.5,200.5,1720,70,T4,0.8,0.5,"8,9",3,"m ac; Carex (?), pm b c"
Washington ,Copalis River Estuary,47.12,124.162,,3,1559,149,1660,63,T5,1.7,0.5,"8,9",3,"Carex (?), rm ac; p bc"
Washington ,Grays Harbour,47.04,124.031,CC,1,410,110,370,70,T1,2,0.4,8,3,"m ac; Spruce, mp bc"
Washington ,Grays Harbour,46.996,124.136,,1,,,,,T1,1.65,0.55,10,3,rm ac; mp bc
Washington ,Grays Harbour,46.994,124.139,,1,,,,,T1,1.75,0.45,10,3,"rm ac; Spruce, pm bc"
Washington ,Grays Harbour,46.978,123.775,,1,,,,,T1,1.85,0.4,10,3,"TS. rm ac; Spruce, pm bc"
Washington ,Grays Harbour,46.975,123.778,,1,,,,,T1,1.85,0.4,11,2,"rm, 8% ora, 22% fr. diatoms ac; Spruce, pm, 43% ora, 66% fr. diatoms bc"
Washington ,Grays Harbour,46.948,123.724,W11/Bl,1,240,240,240,80,T1,1.9,0.4,8,3,"m ac; Spruce, pm bc"
Washington ,Grays Harbour,46.948,123.724,,2,1745,130,1820,50,T4,1.9,0.4,8,3,"m ac; Spruce, pm bc"
Washington ,Grays Harbour,46.948,123.724,,3,1718.5,146.5,1798,52,T5,1.65,0.4,8,3,"rm ac; Spruce, pm bc"
Washington ,Grays Harbour,46.948,123.724,,4,,,,,T5a,0.1,0.5,8,3,m/rm ac; m bc
Washington ,Grays Harbour,46.948,123.724,,5,2552.5,189.5,2500,70,T6,1.5,0.4,8,2,"Carex, rm ac; Spruce, pm bc"
Washington ,Grays Harbour,46.946,123.732,W12/CR,1,135.5,135.5,80,50,T1,1.5,0.4,8,2,"Carex, rm ac; Spruce, pm bc"
Washington ,Grays Harbour,46.946,123.732,,2,1536,181,1640,80,T4,1.3,0.6,8,3,"m ac; pm, unidentified herbaceous plants bc"
Washington ,Grays Harbour,46.946,123.732,,3,1520.5,165.5,1600,60,T5,1.5,0.4,8,2,"Carex, rm ac; Spruce (?), p bc"
Washington ,Grays Harbour,46.902,123.985,Jo-m,1,399.5,97.5,330,50,T1,1.65,0.35,8,3,"m ac; Potentilla, pm b c"
Washington ,Grays Harbour,46.895,123.987,,1,,,,,T1,1.65,0.45,11,2,"rm, 9% ora, 8% fr. diatoms ac; p, 56% ora, 52% fr. diatoms bc"
Washington ,Grays Harbour,46.893,123.988,JR-1,1,413.5,103.5,390,60,T1,0.85,0.3,12,1,"pollen, diatoms, forams; TWINSPAN and DCA analysis. Max. limitina aaes"
Washington ,Grays Harbour,46.893,123.988,JR-1,3,1986,154,2020,60,T5a,0.98,0.53,12,1,
Washington ,Grays Harbour,46.893,123.988,JR-1,5,3258.5,179.5,3070,60,T7,1.13,0.53,12,1,
Washington ,Grays Harbour,46.893,123.988,JR-5,6,3687.5,207.5,3440,80,T8,1.13,0.53,12,1,
Washington ,Grays Harbour,46.893,123.988,JR-6,7,4638,192,4120,60,T10,1.93,0.48,12,1,
Washington ,Grays Harbour,46.893,123.988,JR-4,8,5095.5,216.5,4480,70,T10R1,0.63,0.48,12,1,
Washington ,Grays Harbour,46.893,123.986,Jo-u,1,328,175,310,60,T1,1.65,0.35,8,3,"m ac; Potentilla, mp be"
Washington ,Grays Harbour,46.893,123.986,,3,1410,108,1495,50,T4,1.65,0.4,8,3,"rm ac; Spruce, p be"
Washington ,Grays Harbour,46.893,123.986,,5,3229.5,222.5,3070,80,T7,1.45,0.35,8,2,"Triglochin, rm ac; Potentilla, Deschampsia, p be"
Washington ,Willapa Bay,46.672,123.734,Wi-S,1,140,140,131,39,T1,1.2,0.5,8,2,"Carex, rm ac; Spruce, pm be"
Washington ,Willapa Bay,46.672,123.734,,3,1626.5,86.5,1720,39,T5,1.2,0.5,8,2,"Carex, rm ac; Spruce, pm be"
Washington ,Willapa Bay,46.672,123.734,,4,2537,182,2460,70,T6,1.7,1.3,8,3,m ac; pm be
Washington ,Willapa Bay,46.672,123.734,,5,2927.5,141.5,2811,53,T7,1.2,0.5,8,2,"Carex, rm ac; Spruce, pm be"
Washington ,Willapa Bay,46.672,123.734,,6,3411.5,142.5,3181,46,T8,1.2,0.5,8,2,"Carex, rm ac; Spruce, pm be"
Washington ,Willapa Bay,46.672,123.734,,7,4166.5,242.5,3760,80,T9,0.8,0.7,8,3,"Carex (?), m ac; pm be"
Washington ,Willapa Bay,46.672,123.734,,8,4918,343,4290,80,T10,0.8,0.7,8,3,"Carex (?), m ac; pm be"
Washington ,Willapa Bay,46.631,123.917,,1,,,,,T1,1,0.4,15,1,tf diatoms ac; hm diatoms be
Washington ,Willapa Bay,46.63,123.909,Ni-I,1,225,225,269,33,T1,2.2,1,"8,14",1,"m, tf diatoms ac; Spruce, p, upland diatoms be"
Washington ,Willapa Bay,46.63,123.909,,3,,,,,T4,2,1.2,"8,14",1,"m, tf diatoms ac; m, hhm diatoms be"
Washington ,Willapa Bay,46.63,123.909,,4,1711.5,99.5,1774,25,T5,1.7,0.6,"8,14",1,"rm, tf diatoms ac; Spruce, p, upland diatoms be"
Washington ,Willapa Bay,46.63,123.909,,5,2540,174,2475,23,T6,2,1.2,"8,14,16",1,"m, tf diatoms ac; pm, hm/upland diatoms be"
Washington ,Willapa Bay,46.63,123.909,,6,3085.5,116.5,2922,27,T7,2,1.2,"8,14",1,"m, tf diatoms ac; Spruce, p, hm diatoms be"
Washington ,Willapa Bay,46.63,123.909,,7,3403,40,3170,12,T8,1.7,1.1,"8,14,16",1,"Triglochin, m, tf diatoms ac; pm, hm diatoms be"
Washington ,Willapa Bay,46.63,123.909,,8,3886.5,197.5,3570,,T9,0.9,0.6,14,3,"Triglochin, Carex, m ac; pm be"
Washington ,Willapa Bay,46.629,123.907,,1,,,,,T1,1.2,0.4,15,1,tf diatoms diatoms ac; Spruce roots be
Washington ,Willapa Bay,46.628,123.963,,1,,,,,T1,1.3,0.5,8,2,"Triglochin, rm ac; Spruce, p be"
Washington ,Willapa Bay,46.628,123.91,,1,,,,,T1,2.2,1,8,3,"m ac; Spruce, pm be"
Washington ,Willapa Bay,46.621,123.899,,1,,,,,T1,2.1,1.2,15,1,tf/ lowest Im ac; Spruce be
Washington ,Willapa Bay,46.615,123.899,Ni-u,1,143.5,120.5,35,45,T1,1.3,0.5,8,2,"Triglochin, rm ac; Spruce, pm be"
Washington ,Willapa Bay,46.615,123.899,,3,1698.5,161.5,1765,64,T5,1.2,1.1,8,3,"Triglochin, m ac; pm be"
Washington ,Willapa Bay,46.612,123.892,,1,,,,,T1,1.3,0.5,15,1,tf/ lowest Im ac; Spruce be
Washington ,Willapa Bay,46.596,124.038,,1,,,,,T1,1.15,0.75,7,3,rm ac; mp be
Washington ,Willapa Bay,46.38,124.016,,1,,,,,T1,1.15,0.75,7,3,rm ac; mp be
Washington ,Willapa Bay,46.354,123.993,Be-I,1,492.5,157.5,500,60,T1,2.2,1,8,3,"m ac; Spruce, p be"
Washington ,Willapa Bay,46.354,123.993,,2,1075,145,1130,60,T4,2,1.2,8,3,"m ac; Spruce, pm/m be"
Washington ,Willapa Bay,46.354,123.993,,3,1837.5,212.5,1910,80,T5,0.1,0.5,8,3,"Triglochin, m ac; m be"
Washington ,Willapa Bay,46.354,123.993,,4,2545,185,2487,56,T6,1.15,0.75,8,3,"Triglochin, rm ac; pm be"
Oregon,Columbia River,46.335,123.699,De-u,1,143,143,150,50,T1,1.85,0.5,8,3,"m ac; Spruce, pm be"
Oregon,Columbia River,46.335,123.699,,2,,,,,T3,1.4,0.6,8,3,m ac; pm be
Oregon,Columbia River,46.335,123.699,,3,1237.5,151.5,1350,70,T4,1.7,0.5,8,3,"Carex, m ac; p be"
Oregon,Columbia River,46.331,123.696,De-I,1,211.5,211.5,180,70,T1,1.85,0.5,8,3,"m ac; Spruce, pm be"
Oregon,Columbia River,46.331,123.696,,2,836,95,936,50,T3,1.85,0.5,8,3,"m ac; Willow?, pm and m be"
Oregon,Columbia River,46.331,123.696,,3,1215.5,121.5,1321,52,T4,1.1,0.7,8,3,"Carex, m ac; pm be"
Oregon,Columbia River,46.323,123.664,Gr,1,765.5,194.5,850,100,T3,2.1,0.5,8,3,"m ac; Spruce, p be"
Oregon,Columbia River,46.323,123.664,,2,1456,146,1560,70,T4,2.1,0.5,8,3,m ac; p be
Oregon,Columbia River,46.323,123.664,,3,1620.5,200.5,1720,70,T5,1.7,0.5,8,3,"Phragmites (reed), m ac; p be"
Oregon,Columbia River,46.253,123.447,Price Island,1,,,,,T1,1.1,0.7,10,3,rm ac; pm ac
Oregon,Columbia River,46.252,123.445,Price Island,1,,,,,T1,0.8,0.7,"10,17",2,"Spruce, pm ac; Spruce, mp be"
Oregon,Columbia River,46.227,123.42,Hunting Island,1,235,235,240,60,T1,0.5,0.4,"10,17",3,"Scirpus, rm ac; slpm be"
Oregon,Columbia River,46.2,123.573,Blind Slough 1,1,,,,,T1,2.1,0.5,"10,18",3,"m ac; Spruce, p be"
Oregon,Columbia River,46.2,123.572,Blind Slough 2,1,,,,,T1,1.7,0.5,"10,18",3,"rm ac; Spruce, mp be"
Oregon,Columbia River,46.177,123.748,John Day R.,1,,,,,T1,1.7,0.5,10,3,"rm ac; Spruce, mp be"
Oregon,Columbia River,46.177,123.748,John Day R.,1,,,,,T1,1.6,0.5,10,3,rm ac; mp be
Oregon,Columbia River,46.177,123.75,John Day R.,1,,,,,T1,1.7,0.5,10,3,"TS. rm ac; Spruce, mp be"
Oregon,Columbia River,46.155,123.862,Warrenton,1,,,,,T1,1.7,0.5,"10,19",3,rm ac; p be
Oregon,Columbia River,46.143,123.79,Wallooskee R.,1,,,,,T1,1.3,0.6,10,3,"slpm ac; Spruce, pm be"
Oregon,Necanicum River Estuary,46.005,123.912,Neawanna8,1,,,,,T1,0.9,0.5,"10,20",3,TS. rm ac; pm be
Oregon,Necanicum River Estuary,45.988,123.913,Neawanna12th,1,,,,,T1,0.9,0.5,"10,11",2,"rm, 12% org, 10% fr. diatoms ac; pm, 40% org, 68% fr. diatoms be"
Oregon,Necanicum River Estuary,45.982,123.917,core 2,1,487,159,480,60,T1,0.57,0.5,20-22,3,"pm, 20% org, increased br. diatoms ac; mp, 37% org be (via 7 cm sd}"
Oregon,Necanicum River Estuary,45.982,123.917,,2,781,124,800,60,T2,0,0.5,21,3,mp ac; mp be
Oregon,Necanicum River Estuary,45.982,123.917,,3,1032,200,1100,70,T3,0.04,0.5,"21,22",3,pm ac; pm be (via 4 cm sd)
Oregon,Necanicum River Estuary,45.982,123.917,,4,1252.5,157.5,1370,70,T4,0.05,0.5,"21,22",3,pm ac; pm be (via 5 cm sd)
Oregon,Necanicum River Estuary,45.982,123.917,,5,,,,,T5,0,0.5,"21,22",3,pm ac; pm be
Oregon,Necanicum River Estuary,45.982,123.917,,6,1982,168,2000,70,T5a,1.2,0.5,"21,22",3,"m, increased br. diatoms ac; mp be"
Oregon,Necanicum River Estuary,45.983,123.918,core 5,1,,,,,T1,0.05,0.5,21,3,slpm ac; slpm be (via 5 cm sd)
Oregon,Necanicum River Estuary,45.983,123.918,,2,635,108,680,80,T2,0.06,0.5,21,3,slpm ac; slpm be (via 6 cm sd)
Oregon,Necanicum River Estuary,45.983,123.918,,3,,,,,T3,0.9,0.5,21,3,"slpm, increased br. diatoms ac; pm be"
Oregon,Necanicum River Estuary,45.983,123.918,,4,,,,,T4,0,0.5,21,3,pm ac; pm be
Oregon,Necanicum River Estuary,45.983,123.918,,5,,,,,T5,0,0.5,21,3,slpm ac; slpm be
Oregon,Necanicum River Estuary,45.983,123.918,,6,2154,204,2200,90,T5a,1.2,0.5,21,3,m ac; mp be
Oregon,Nehalem River,45.699,123.881,,1,,,,,T1,0.66,0.31,23,1,Foram transfer function analysis
Oregon,Tillamook Bay,45.56,123.897,Garibaldi,1,,,,,T1,1.1,0.4,"10,11",3,"TS. slpm ac; shrub roots, mp be"
Oregon,Tillamook Bay,45.508,123.878,TFU Bay City,1,,,,,T1,1.55,0.4,"10,11",2,"TS. rm, 4% org, 8% fr. diatoms ac; mp, 46% org, 72% fr. diatoms be"
Oregon,Tillamook Bay,45.495,123.93,Flower Pot,1,219,219,250,40,T1,1.55,0.4,"10,11",2,"rm, 14% org, 0% fr. diatoms ac; mp, 53% org, 60% fr. diatoms be"
Oregon,Netarts Bay,45.418,123.935,Oyster Farm,1,,,,,T1,1.1,0.4,"10,20",2,"TS. Triglochin, rm, 3% org ac; Juncus, mp, 36% org be"
Oregon,Netarts Bay,45.411,123.935,OF,1,,,,,T1,0.7,0.6,24,1,"tf/lm pollen, utf/lm diatoms ac; hm pollen, ulm/hm diatoms be"
Oregon,Netarts Bay,45.411,123.935,,2,,,,,T2,0.33,0.33,24,1,"Im pollen, utf/lm diatoms ac; Im pollen, utf/lm diatoms be"
Oregon,Netarts Bay,45.411,123.935,,3,785.5,116.5,820,50,T3,0.5,0.5,24,1,"Im/hm pollen, utf/lm/hm diatoms ac; Im pollen, utf/lm/hm diatoms be"
Oregon,Netarts Bay,45.411,123.935,,4,,,,,T5,0.56,0.56,24,1,"tf/lm pollen, utf/lm/hm diatoms ac; tf/lm pollen, utf/lm/hm diatoms be"
Oregon,Netarts Bay,45.398,123.93,,1,,,,,T1,0.6,0.35,"9,18",3,m ac; pm be
Oregon,Netarts Bay,45.37,123.966,NB2,1,466.5,151.5,440,60,T1,0.4,0.35,24,1,"tf/lm/hm pollen, ulm/hm diatoms be; hm pollen, hm/backswamp diatoms ac"
Oregon,Netarts Bay,45.369,123.967,"cores 5,11",1,409,102,370,60,T1,1.3,0.35,25,2,"br./mar. diatoms, 5-10% org (tf) ac; fr./br./mar. diatoms, 13-27% org (very hm) be"
Oregon,Netarts Bay,45.369,123.967,,3,1180,115,1270,60,T3,0.4,0.4,25,2,"m, br./mar. diatoms, 4-9% org ac; pm, br./mar. diatoms, 4-13.7% org be"
Oregon,Netarts Bay,45.369,123.967,,4,1599.5,210.5,1670,80,T5,1.2,0.3,25,2,"m/slpm, br./mar. diatoms, 3.8-8.3% org ac; pm, fr./br./mar. diatoms, 5-22% org be"
Oregon,Netarts Bay,45.369,123.967,,5,1767,153,1840,60,T5a,1.3,0.5,25,2,"m/pm, br./mar. diatoms, 3.8-12% org ac; p/mp, fr./br./mar. diatoms, 10-52% org be"
Oregon,Netarts Bay,45.369,123.967,,7,3365.5,203.5,,,T6a,1.2,0.3,"20,25",2,"m, br./mar. diatoms, 5% org ac; mp/pm, fr. diatoms, 27% org be"
Oregon,Netarts Bay,45.369,123.967,,8,3002,207,2860,70,T7,0.65,0.65,"20,25",2,"m, fr. diatoms, 15% org ac; pm, fr. diatoms, 29% org be"
Oregon,Netarts Bay,45.369,123.967,,9,3620.5,209.5,3360,80,T8,1.1,0.4,"20,25",2,"m, br./mar. diatoms, 7% org ac; p/pm, br./mar. diatoms, 17% org be"
Oregon,Nestucca Bay,45.218,123.943,Hurliman 2,1,868.5,182.5,940,90,T3,1,0.5,21,3,slpm ac; mp be
Oregon,Nestucca Bay,45.218,123.943,,2,,,,,T3a,0.8,0.5,21,3,m ac; pm be
Oregon,Nestucca Bay,45.218,123.943,,3,,,,,T4,0.8,0.5,21,3,m ac; pm be
Oregon,Nestucca Bay,45.218,123.943,,4,3346,268,,,T4a,0.5,0.5,21,3,pm ac; mp be
Oregon,Nestucca Bay,45.218,123.943,,5,1598,181,1700,60,T5,1.3,0.5,21,3,m ac; mp be
Oregon,Nestucca Bay,45.218,123.943,,7,2566.5,199.5,2550,60,T6,0.5,0.5,21,3,pm ac; mp be
Oregon,Nestucca Bay,45.218,123.943,,8,3057.5,201.5,2900,70,T7,0.5,0.5,21,3,pm ac; mp be
Oregon,Nestucca Bay,45.218,123.943,,10,4200,214,3800,70,T9,1,0.5,21,3,slpm ac; mp be
Oregon,Nestucca Bay,45.218,123.943,,11,4623,198,4080,70,T10,0.5,0.5,21,3,pm ac; mp be
Oregon,Nestucca Bay,45.218,123.943,,12,5073,217,4420,80,T10R1,0.5,0.5,21,3,slpm ac; pm be
Oregon,Nestucca Bay,45.218,123.943,,13,6023,251,5250,80,T11,0.5,0.5,21,3,slpm ac; pm be
Oregon,Nestucca Bay,45.218,123.943,,14,6469,166,5660,80,T12,0.65,0.4,21,3,pm ac; p be
Oregon,Nestucca Bay,45.187,123.948,Duck 3,1,,,,,T1,0.78,0.5,"10,20,21",3,"rm, 10% org ac; pm, 26% org be (via 8 cm sd)"
Oregon,Nestucca Bay,45.187,123.95,Duck 2,1,,,,,T1,0.88,0.5,21,3,m ac; pm be (via 8 cm sd)
Oregon,Nestucca Bay,45.188,123.949,Duck 1,1,418.5,106.5,400,60,T1,1.25,0.5,"10,20,21",3,rm ac; mp be (via 5 cm sd)
Oregon,Nestucca Bay,45.18,123.942,,1,,,,,T1,0.79,0.3,23,1,Foram transfer function analysis
Oregon,Nestucca Bay,45.155,123.93,L. Nestucca 4,1,,,,,T4a,0.5,0.5,21,3,slpm ac; pm be
Oregon,Nestucca Bay,45.155,123.93,,2,,,,,T5,0.5,0.5,21,3,slpm ac; pm be
Oregon,Nestucca Bay,45.155,123.93,,3,,,,,T6,0.5,0.5,21,3,slpm ac; pm be
Oregon,Nestucca Bay,45.155,123.93,,4,,,,,T7,0.8,0.5,21,3,m ac; pm be
Oregon,Nestucca Bay,45.155,123.93,,5,,,,,T8,0.38,0.4,21,3,m ac; slpm be (via 8 cm sd)
Oregon,Nestucca Bay,45.155,123.93,,6,,,,,T9,0.3,0.4,21,3,m ac; slpm be
Oregon,Nestucca Bay,45.154,123.929,Nestucca 2,1,,,,,T4a,0.5,0.5,21,3,slpm ac; pm be
Oregon,Nestucca Bay,45.154,123.929,,2,,,,,T5,0.5,0.5,21,3,slpm ac; pm be
Oregon,Nestucca Bay,45.154,123.929,,3,,,,,T5a,0.5,0.5,21,3,slpm ac; pm be
Oregon,Nestucca Bay,45.154,123.929,,4,,,,,T6,0.5,0.5,21,3,slpm ac; pm be
Oregon,Nestucca Bay,45.154,123.929,,5,,,,,T7,0.8,0.5,21,3,"m, Triglochin ac; pm be"
Oregon,Nestucca Bay,45.154,123.929,,6,,,,,T8,0.8,0.5,21,3,m ac; pm be
Oregon,Nestucca Bay,45.153,123.932,,3,1401,120,1460,70,T4a,0.5,0.5,21,3,pm ac; mp be
Oregon,Nestucca Bay,45.153,123.932,,4,,,,,T5,0.2,0.5,21,3,"pm, Triglochin ac; pm be"
Oregon,Nestucca Bay,45.153,123.932,,5,1781,168,1860,70,T5a,0.5,0.5,21,3,pm ac; mp be
Oregon,Nestucca Bay,45.153,123.932,,6,2573,208,2560,70,T6,1,0.5,21,3,slpm ac; mp be
Oregon,Nestucca Bay,45.153,123.932,,7,3209,234,3040,90,T7,1,0.5,21,3,"slpm, Triglochin ac; mp be"
Oregon,Nestucca Bay,45.153,123.932,,8,3516.5,172.5,3260,80,T8,0.55,0.5,21,3,"slpm, Triglochin ac; pm be (via 5 cm sd)"
Oregon,Nestucca Bay,45.153,123.932,,9,4112.5,267.5,3720,80,T9,0.5,0.5,21,3,pm ac; mp be
Oregon,Nestucca Bay,45.153,123.932,,10,,,,,T10,0.5,0.5,21,3,pm ac; mp be
Oregon,Nestucca Bay,45.153,123.932,,11,4744.5,217.5,4220,80,T10R1,1.3,0.5,21,3,m ac; mp be
Oregon,Salmon River Estuary,45.032,123.987,,1,,,,,T1,1,0.5,10,3,"Triglochin, rm ac; mp be."
Oregon,Salmon River Estuary,45.034,123.998,A1(W transect),1,142,142,157,17,T1,0.65,0.35,26,1,"pm, low marsh pollen and macrofossils ac; p, high marsh pollen and macrofossils be"
Oregon,Salmon River Estuary,45.034,123.998,,2,1010.5,209.5,1090,70,T3,0.35,0.35,26,1,"rm, low transit, marsh pollen ac; mp, high trans. marsh pollen be"
Oregon,Salmon River Estuary,45.034,123.998,,3,1241.5,63.5,1330,35,T4,0.3,0.3,26,1,"pm, low marsh macrofossils and low trans. marsh pollen ac: pm, high trans. marsh pollen be"
Oregon,Salmon River Estuary,45.034,123.998,,4,1575.5,129.5,1680,40,T5,0.25,0.25,26,1,"rm, low marsh macrofossils and low trans. marsh pollen ac; mp, high transit, marsh pollen be"
Oregon,Salmon River Estuary,45.034,123.998,,5,2191,149,2190,60,T5b,0.5,0.4,26,1,"change from upland soil to p/mp interpreted by Nelson et al. as gradual SL rise, not coseismic sub."
Oregon,Salmon River Estuary,45.03,123.983,,1,,,,,T1,0.81,0.31,23,1,Foram transfer function analysis
Oregon,Siletz Bay ,44.931,124.003,SB27,1,,,,,T1,0.65,0.45,27,3,slpm to barren m ac; pm be
Oregon,Siletz Bay ,44.931,124.008,SB25,1,589.5,71.5,580,60,T1,0.95,0.45,"10,27",3,m ac; pm be (via 20 cm sd)
Oregon,Siletz Bay ,44.93,124.008,Schooner Cr.,1,,,,,T1,0.75,0.55,"10,11",2,"rm, 13% org, 14% fr. diatoms ac; pm, 19% org, 58% fr. diatoms be"
Oregon,Siletz Bay ,44.93,124.003,SB28,1,,,,,T1,0.7,0.5,"10,27",3,rm ac; slpm be (via 5 cm sand)
Oregon,Siletz Bay ,44.929,124.012,SB23,1,1055.5,117.5,1130,50,T3,0.65,0.4,"10,27",3,slpm ac; pm be (via 15 cm sd)
Oregon,Siletz Bay ,44.918,124.012,SB32,1,560,94,510,60,T1,0.5,0.4,"10,27",3,slpm ac; pm be
Oregon,Siletz Bay ,44.908,124,SB33,1,,,,,T1,0.6,0.5,"10,27",3,rm ac; pm be
Oregon,Siletz Bay ,44.903,124.029,SB2,1,,,,,T1,0.65,0.4,27,3,rm ac; pm be (via 15 cm sd)
Oregon,Siletz Bay ,44.903,124.029,SB1,1,,,,,T1,0.5,0.4,27,3,rm ac; pm be
Oregon,Siletz Bay ,44.903,124.029,SB5,1,,,,,T1,0.52,0.4,27,3,rm ac; pm be (via 2 cm sd)
Oregon,Siletz Bay ,44.899,124.031,SB12,1,,,,,T1,1.02,0.4,27,3,"Triglochin, m ac; mp be (via 2 cm sd)"
Oregon,Siletz Bay ,44.899,124.028,SB6,1,,,,,T1,0.5,0.4,27,3,rm ac; pm be
Oregon,Siletz Bay ,44.898,124.028,SB7,1,,,,,T1,0.5,0.4,27,3,rm ac; pm be
Oregon,Siletz Bay ,44.898,124.028,SB9,1,,,,,T1,0.86,0.35,"10,20,27",3,rm ac; mp be (via 1 cm sd)
Oregon,Siletz Bay ,44.898,124.03,SB8,1,,,,,T1,0.55,0.4,27,3,rm ac; pm be (via 5 cm sd)
Oregon,Siletz Bay ,44.897,124.032,SB11,1,,,,,T1,0.9,0.3,27,3,rm ac; mp be
Oregon,Siletz Bay ,44.897,124.028,SB14,1,,,,,T1,0.4,0.3,"10,27",3,slpm ac; pm be
Oregon,Siletz Bay ,44.895,123.998,Siletz R.,1,,,,,T1,0.55,0.45,"10,11",2,"rm, 9% org, 12% fr. diatoms ac; pm, 21% org, 64% fr. diatoms be"
Oregon,Siletz Bay ,44.895,124.028,SB15,1,,,,,T1,0.5,0.4,27,3,rm ac; pm be
Oregon,Siletz Bay ,44.893,124.03,SB17,1,245,245,270,60,T1,0.55,0.3,"21,27",3,slpm ac; pm be (via 25 cm sd)
Oregon,Siletz Bay ,44.893,124.03,,2,404.5,102.5,350,60,T2,0,0.5,27,3,pm ac; slpm be (via 5 cm sd)
Oregon,Siletz Bay ,44.893,124.03,,4,1443,163,1510,90,T4a,0.65,0.3,"21,27",3,m ac; slpm be (via 25 cm sd)
Oregon,Siletz Bay ,44.893,124.03,,5,1610.5,198.5,1690,70,T5,0.73,0.4,"21,27",3,m ac; pm be (via 3 cm sd)
Oregon,Siletz Bay ,44.893,124.03,,6,2569,207,2550,80,T6,0.43,0.3,"21,27",3,m ac; rm be (via 8 cm sd)
Oregon,Siletz Bay ,44.893,124.029,SB18,1,,,,,T1,0.43,0.3,27,3,pm ac; mp be (via 3 cm sd)
Oregon,Siletz Bay ,44.89,123.999,SB45,1,,,,,T1,0.35,0.3,27,3,m ac; rm be
Oregon,Siletz Bay ,44.89,123.998,SB47,1,,,,,T1,0.8,0.45,27,3,m ac; pm be (via 5 cm sd)
Oregon,Siletz Bay ,44.888,123.996,SB48,1,487,159,480,60,T1,0.45,0.35,"21,27",3,slpm ac; pm be
Oregon,Siletz Bay ,44.888,123.996,,2,1214,141,1330,70,T4,0.4,0.3,"21,27",3,m ac; slpm be
Oregon,Siletz Bay ,44.888,123.996,,3,1539.5,160.5,1630,70,T4a,0.42,0.3,"21,27",3,rm ac; slpm be (via 7 cm sd)
Oregon,Siletz Bay ,44.888,123.996,,4,1778,168,1850,70,T5,0.67,0.5,"21,27",3,rm ac; pm be (via 7 cm sd)
